Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,TopPt1,1747514,1789564,142251,197620,297801,10382,23995,589614,527901,42050,14290,20128,7632
1989:Q3,RemainingTop1,2885092,2962658,451762,161002,584206,112641,83828,737907,831311,77566,57447,4581,15538
1989:Q3,Next9,7623207,8121744,2073367,420076,806891,1411665,422800,1013657,1973288,498537,393945,56884,47708
1989:Q3,Next40,7394537,8968681,3409892,757671,343118,1783877,420369,582457,1671297,1574144,1161772,362586,49786
1989:Q3,Bottom50,773814,1731952,815444,359981,24085,159401,56816,45991,270234,958138,583235,340028,34875
1989:Q4,TopPt1,1788703,1828591,153554,199158,310574,12742,23320,590691,538551,39888,13592,18389,7907
1989:Q4,RemainingTop1,2949912,3032347,483550,161163,595105,116705,87199,735422,853202,82435,60225,4289,17921
1989:Q4,Next9,7765721,8277017,2101799,419613,824809,1439838,442247,1040213,2008498,511295,404428,60105,46762
1989:Q4,Next40,7551402,9152628,3456716,774880,361989,1833744,438709,581215,1705375,1601227,1182045,369258,49924
1989:Q4,Bottom50,748879,1739114,798697,370961,25563,161104,58512,49289,274987,990235,599826,357244,33165
1990:Q1,TopPt1,1788268,1826143,165163,186997,285141,15233,21807,596704,555098,37875,13170,16546,8159
1990:Q1,RemainingTop1,2933859,3023010,488054,163725,556043,121012,88109,748603,857464,89150,63820,6002,19328
1990:Q1,Next9,7760595,8295965,2094425,433282,779219,1458656,449912,1047606,2032865,535370,425883,60158,49329
1990:Q1,Next40,7631355,9246473,3462187,798829,352996,1874968,442444,584914,1730135,1615118,1208814,355496,50808
1990:Q1,Bottom50,788053,1798458,836955,384296,25577,162611,58447,50490,280081,1010405,623226,354118,33061
1990:Q2,TopPt1,1829320,1865221,175623,188247,300969,17627,20541,597822,564393,35901,12747,14886,8268
1990:Q2,RemainingTop1,2986246,3080509,513828,163876,578976,125250,89858,759155,849565,94263,67082,6288,20893
1990:Q2,Next9,7838884,8396047,2109485,432012,800535,1481320,468299,1054217,2050179,557163,445871,61975,49317
1990:Q2,Next40,7740629,9374824,3484513,813957,361309,1919886,453874,587688,1753598,1634195,1229744,353621,50830
1990:Q2,Bottom50,765858,1799521,817340,394419,27683,164200,58976,52348,284554,1033663,639967,361942,31754
1990:Q3,TopPt1,1804908,1838657,187418,172919,228724,20074,18615,605269,605639,33749,12167,13245,8337
1990:Q3,RemainingTop1,2880816,2980297,514137,164750,470538,129612,89223,761435,850601,99480,69984,6467,23029
1990:Q3,Next9,7767651,8335161,2098177,445173,673180,1499610,463725,1070023,2085273,567511,458734,64350,44427
1990:Q3,Next40,7756561,9410981,3487151,831783,322030,1960811,446289,584953,1777965,1654420,1249726,354695,49999
1990:Q3,Bottom50,804179,1862073,868122,401621,25381,165701,57804,53581,289863,1057894,656126,373545,28223
1990:Q4,TopPt1,1887275,1918866,196247,162073,273542,22462,18027,618369,628146,31591,11368,11601,8622
1990:Q4,RemainingTop1,2974389,3078919,522219,166948,522647,133934,92915,758943,881314,104530,72509,7100,24921
1990:Q4,Next9,7921225,8497235,2073669,454237,744658,1520406,484713,1087630,2131922,576010,462552,66597,46861
1990:Q4,Next40,7891064,9565708,3486230,846042,365621,2004177,466441,579447,1817750,1674644,1269719,354322,50603
1990:Q4,Bottom50,802855,1888612,877066,409820,28303,167254,59730,53501,292937,1085757,673107,384772,27878
1991:Q1,TopPt1,1944708,1974319,208344,160012,338712,24878,17825,622537,602011,29612,10608,10000,9004
1991:Q1,RemainingTop1,3098021,3209199,533803,168390,598964,138328,97848,751996,919870,111178,75019,9206,26953
1991:Q1,Next9,8094215,8675206,2086257,456245,848895,1539007,508250,1096363,2140189,580991,467305,66155,47531
1991:Q1,Next40,8040750,9718272,3475869,861921,426939,2045586,492984,573701,1841273,1677522,1288048,337929,51545
1991:Q1,Bottom50,822585,1916605,885415,421261,31929,168765,62588,53294,293352,1094020,688172,378916,26932
1991:Q2,TopPt1,1947362,1975059,220146,152225,336933,27243,16706,614882,606924,27698,10232,8482,8984
1991:Q2,RemainingTop1,3074722,3191122,539292,168644,591200,142674,99912,748920,900481,116400,78298,9897,28205
1991:Q2,Next9,8097710,8698802,2086814,461042,838668,1560369,520722,1101571,2129616,601092,486680,67399,47013
1991:Q2,Next40,8087259,9780164,3465393,874303,429170,2089681,503226,571505,1846886,1692905,1309419,332357,51129
1991:Q2,Bottom50,841969,1955814,910787,427493,33143,170335,63363,55587,295106,1113845,705484,383170,25191
1991:Q3,TopPt1,1968199,1994098,230870,134881,372239,29611,16125,607554,602818,25899,9922,6998,8979
1991:Q3,RemainingTop1,3133786,3252626,542508,171455,632390,147039,103761,758236,897238,118840,80739,9599,28502
1991:Q3,Next9,8139435,8767765,2067727,475397,888544,1581731,540998,1080404,2132964,628330,505468,68926,53936
1991:Q3,Next40,8215996,9911224,3474067,887682,457530,2133876,524283,573859,1859927,1695228,1314286,329114,51828
1991:Q3,Bottom50,892292,2010672,951227,434028,35977,171908,65463,55311,296758,1118380,703553,387862,26965
