observation_date,LNS11300012,LNS11300036,LNS11300060,LNS11324230
2000-01-01,52.2,78.3,84.4,32.3
2000-02-01,52.2,78.2,84.4,32.4
2000-03-01,52.0,78.2,84.3,32.4
2000-04-01,52.9,78.1,84.4,32.2
2000-05-01,52.4,77.4,84.1,32.2
2000-06-01,52.4,77.9,84.1,32.2
2000-07-01,51.0,77.1,83.9,32.3
2000-08-01,52.3,77.5,83.8,32.5
2000-09-01,51.6,78.0,83.7,32.4
2000-10-01,51.3,78.1,83.6,32.4
2000-11-01,51.8,77.3,83.8,32.3
2000-12-01,52.0,77.7,83.9,32.6
2001-01-01,51.7,78.4,84.1,32.8
2001-02-01,51.1,78.0,84.1,32.7
2001-03-01,50.9,78.3,84.1,32.8
2001-04-01,50.2,77.6,83.7,33.0
2001-05-01,49.0,76.6,83.8,33.0
2001-06-01,50.1,76.2,83.6,33.1
2001-07-01,49.8,76.4,83.6,33.2
2001-08-01,47.3,76.6,83.5,33.4
2001-09-01,49.2,77.3,83.5,33.5
2001-10-01,49.3,76.7,83.6,33.5
2001-11-01,49.2,76.9,83.5,33.6
2001-12-01,48.1,76.8,83.7,33.8
2002-01-01,47.4,76.0,83.5,33.8
2002-02-01,47.6,76.7,83.7,34.1
2002-03-01,48.5,77.0,83.5,33.8
2002-04-01,47.6,76.4,83.6,34.2
2002-05-01,47.4,77.0,83.6,34.4
2002-06-01,47.8,76.4,83.2,34.6
2002-07-01,47.5,76.4,83.1,34.7
2002-08-01,46.8,76.9,83.2,34.8
2002-09-01,48.1,76.1,83.3,35.2
2002-10-01,47.2,75.7,83.2,35.1
2002-11-01,47.0,75.9,82.9,35.0
2002-12-01,46.4,76.0,83.1,34.9
2003-01-01,45.9,75.8,82.9,35.5
2003-02-01,45.7,75.8,83.0,35.5
2003-03-01,44.5,75.2,83.1,35.5
2003-04-01,45.0,75.6,83.2,35.5
2003-05-01,45.0,75.7,83.1,35.6
2003-06-01,45.2,76.0,83.3,35.6
2003-07-01,44.4,75.4,83.0,35.5
2003-08-01,43.7,75.3,83.0,35.7
2003-09-01,44.1,75.5,82.8,35.6
2003-10-01,43.7,74.9,82.9,35.8
2003-11-01,44.0,74.9,82.8,36.1
2003-12-01,43.1,74.5,82.8,36.0
2004-01-01,44.5,75.2,82.8,36.0
2004-02-01,43.8,74.9,82.7,36.2
2004-03-01,42.8,75.0,82.8,36.3
2004-04-01,43.8,75.4,82.7,35.8
2004-05-01,44.0,74.9,82.8,36.0
2004-06-01,43.2,75.0,82.9,36.2
2004-07-01,44.2,75.1,83.0,36.1
